WWGI/AFG_RQ_STD_ERR,Regulatory Quality; Standard Error - Afghanistan
WWGI/AFG_RL_NO_SRC,Rule of Law; Number of Sources - Afghanistan
WWGI/AFG_RL_PER_RNK,Rule of Law; Percentile Rank - Afghanistan
WWGI/AFG_RL_STD_ERR,Rule of Law; Standard Error - Afghanistan
WWGI/AFG_VA_EST,Voice and Accountability; Estimate - Afghanistan
WWGI/AFG_VA_NO_SRC,Voice and Accountability; Number of Sources - Afghanistan
WWGI/AFG_VA_PER_RNK,Voice and Accountability; Percentile Rank - Afghanistan
WWGI/AFG_VA_STD_ERR,Voice and Accountability; Standard Error - Afghanistan
WWGI/AGO_CC_NO_SRC,Control of Corruption; Number of Sources - Angola
WWGI/AGO_CC_STD_ERR,Control of Corruption; Standard Error - Angola
WWGI/AGO_CC_PER_RNK,Control of Corruption; Percentile Rank - Angola
WWGI/AGO_CC_EST,Control of Corruption; Estimate - Angola
WWGI/AGO_GE_EST,Government Effectiveness; Estimate - Angola
WWGI/AGO_GE_NO_SRC,Government Effectiveness; Number of Sources - Angola
WWGI/AGO_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Angola
WWGI/AGO_GE_PER_RNK,Government Effectiveness; Percentile Rank - Angola
WWGI/AGO_GE_STD_ERR,Government Effectiveness; Standard Error - Angola
WWGI/AGO_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Angola
WWGI/AGO_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Angola
WWGI/AGO_RQ_EST,Regulatory Quality; Estimate - Angola
WWGI/AGO_RQ_NO_SRC,Regulatory Quality; Number of Sources - Angola
WWGI/AGO_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Angola
WWGI/AGO_RL_NO_SRC,Rule of Law; Number of Sources - Angola
WWGI/AGO_RQ_STD_ERR,Regulatory Quality; Standard Error - Angola
WWGI/AGO_RL_EST,Rule of Law; Estimate - Angola
WWGI/AGO_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Angola
WWGI/AGO_RL_STD_ERR,Rule of Law; Standard Error - Angola
WWGI/AGO_RL_PER_RNK,Rule of Law; Percentile Rank - Angola
WWGI/AGO_VA_EST,Voice and Accountability; Estimate - Angola
WWGI/AGO_VA_NO_SRC,Voice and Accountability; Number of Sources - Angola
WWGI/AGO_VA_PER_RNK,Voice and Accountability; Percentile Rank - Angola
WWGI/AGO_VA_STD_ERR,Voice and Accountability; Standard Error - Angola
WWGI/ALB_CC_EST,Control of Corruption; Estimate - Albania
WWGI/ALB_CC_PER_RNK,Control of Corruption; Percentile Rank - Albania
WWGI/ALB_CC_STD_ERR,Control of Corruption; Standard Error - Albania
WWGI/ALB_CC_NO_SRC,Control of Corruption; Number of Sources - Albania
WWGI/ALB_GE_EST,Government Effectiveness; Estimate - Albania
WWGI/ALB_GE_PER_RNK,Government Effectiveness; Percentile Rank - Albania
WWGI/ALB_GE_NO_SRC,Government Effectiveness; Number of Sources - Albania
WWGI/ALB_GE_STD_ERR,Government Effectiveness; Standard Error - Albania
WWGI/ALB_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Albania
WWGI/ALB_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Albania
WWGI/ALB_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Albania
WWGI/ALB_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Albania
WWGI/ALB_RQ_EST,Regulatory Quality; Estimate - Albania
WWGI/ALB_RQ_NO_SRC,Regulatory Quality; Number of Sources - Albania
WWGI/ALB_RQ_STD_ERR,Regulatory Quality; Standard Error - Albania
WWGI/ALB_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Albania
WWGI/ALB_RL_EST,Rule of Law; Estimate - Albania
WWGI/ALB_RL_NO_SRC,Rule of Law; Number of Sources - Albania
WWGI/ALB_RL_PER_RNK,Rule of Law; Percentile Rank - Albania
WWGI/ALB_RL_STD_ERR,Rule of Law; Standard Error - Albania
WWGI/ALB_VA_EST,Voice and Accountability; Estimate - Albania
WWGI/ALB_VA_NO_SRC,Voice and Accountability; Number of Sources - Albania
WWGI/ALB_VA_STD_ERR,Voice and Accountability; Standard Error - Albania
WWGI/ALB_VA_PER_RNK,Voice and Accountability; Percentile Rank - Albania
WWGI/AND_CC_EST,Control of Corruption; Estimate - Andorra
WWGI/AND_CC_PER_RNK,Control of Corruption; Percentile Rank - Andorra
WWGI/AND_CC_STD_ERR,Control of Corruption; Standard Error - Andorra
WWGI/AND_CC_NO_SRC,Control of Corruption; Number of Sources - Andorra
WWGI/AND_GE_EST,Government Effectiveness; Estimate - Andorra
WWGI/AND_GE_PER_RNK,Government Effectiveness; Percentile Rank - Andorra
WWGI/AND_GE_NO_SRC,Government Effectiveness; Number of Sources - Andorra
WWGI/AND_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Andorra
WWGI/AND_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Andorra
WWGI/AND_GE_STD_ERR,Government Effectiveness; Standard Error - Andorra
WWGI/AND_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Andorra
WWGI/AND_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Andorra
WWGI/AND_RQ_EST,Regulatory Quality; Estimate - Andorra
WWGI/AND_RQ_STD_ERR,Regulatory Quality; Standard Error - Andorra
WWGI/AND_RL_EST,Rule of Law; Estimate - Andorra
WWGI/AND_RQ_NO_SRC,Regulatory Quality; Number of Sources - Andorra
WWGI/AND_RL_PER_RNK,Rule of Law; Percentile Rank - Andorra
WWGI/AND_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Andorra
WWGI/AND_RL_NO_SRC,Rule of Law; Number of Sources - Andorra
WWGI/AND_RL_STD_ERR,Rule of Law; Standard Error - Andorra
WWGI/AND_VA_EST,Voice and Accountability; Estimate - Andorra
WWGI/AND_VA_NO_SRC,Voice and Accountability; Number of Sources - Andorra
WWGI/AND_VA_PER_RNK,Voice and Accountability; Percentile Rank - Andorra
WWGI/ARE_CC_EST,Control of Corruption; Estimate - United Arab Emirates
WWGI/ARE_CC_NO_SRC,Control of Corruption; Number of Sources - United Arab Emirates
WWGI/ARE_CC_STD_ERR,Control of Corruption; Standard Error - United Arab Emirates
WWGI/AND_VA_STD_ERR,Voice and Accountability; Standard Error - Andorra
WWGI/ARE_CC_PER_RNK,Control of Corruption; Percentile Rank - United Arab Emirates
WWGI/ARE_GE_PER_RNK,Government Effectiveness; Percentile Rank - United Arab Emirates
WWGI/ARE_GE_NO_SRC,Government Effectiveness; Number of Sources - United Arab Emirates
WWGI/ARE_GE_EST,Government Effectiveness; Estimate - United Arab Emirates
WWGI/ARE_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - United Arab Emirates
WWGI/ARE_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - United Arab Emirates
WWGI/ARE_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - United Arab Emirates
WWGI/ARE_GE_STD_ERR,Government Effectiveness; Standard Error - United Arab Emirates
WWGI/ARE_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - United Arab Emirates
WWGI/ARE_RQ_NO_SRC,Regulatory Quality; Number of Sources - United Arab Emirates
WWGI/ARE_RQ_EST,Regulatory Quality; Estimate - United Arab Emirates
WWGI/ARE_RQ_PER_RNK,Regulatory Quality; Percentile Rank - United Arab Emirates
WWGI/ARE_RL_NO_SRC,Rule of Law; Number of Sources - United Arab Emirates
WWGI/ARE_RQ_STD_ERR,Regulatory Quality; Standard Error - United Arab Emirates
WWGI/ARE_RL_EST,Rule of Law; Estimate - United Arab Emirates
WWGI/ARE_RL_PER_RNK,Rule of Law; Percentile Rank - United Arab Emirates
WWGI/ARE_VA_EST,Voice and Accountability; Estimate - United Arab Emirates
WWGI/ARE_RL_STD_ERR,Rule of Law; Standard Error - United Arab Emirates
WWGI/ARE_VA_NO_SRC,Voice and Accountability; Number of Sources - United Arab Emirates
WWGI/ARE_VA_PER_RNK,Voice and Accountability; Percentile Rank - United Arab Emirates
WWGI/ARE_VA_STD_ERR,Voice and Accountability; Standard Error - United Arab Emirates
WWGI/ARG_CC_EST,Control of Corruption; Estimate - Argentina
WWGI/ARG_CC_PER_RNK,Control of Corruption; Percentile Rank - Argentina
WWGI/ARG_CC_NO_SRC,Control of Corruption; Number of Sources - Argentina
WWGI/ARG_CC_STD_ERR,Control of Corruption; Standard Error - Argentina
WWGI/ARG_GE_EST,Government Effectiveness; Estimate - Argentina
WWGI/ARG_GE_PER_RNK,Government Effectiveness; Percentile Rank - Argentina
WWGI/ARG_GE_NO_SRC,Government Effectiveness; Number of Sources - Argentina
WWGI/ARG_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Argentina
WWGI/ARG_GE_STD_ERR,Government Effectiveness; Standard Error - Argentina
WWGI/ARG_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Argentina
WWGI/ARG_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Argentina
WWGI/ARG_RQ_EST,Regulatory Quality; Estimate - Argentina
WWGI/ARG_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Argentina
WWGI/ARG_RQ_NO_SRC,Regulatory Quality; Number of Sources - Argentina
WWGI/ARG_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Argentina
WWGI/ARG_RQ_STD_ERR,Regulatory Quality; Standard Error - Argentina
WWGI/ARG_RL_PER_RNK,Rule of Law; Percentile Rank - Argentina
WWGI/ARG_RL_EST,Rule of Law; Estimate - Argentina
WWGI/ARG_RL_NO_SRC,Rule of Law; Number of Sources - Argentina
WWGI/ARG_RL_STD_ERR,Rule of Law; Standard Error - Argentina
WWGI/ARG_VA_EST,Voice and Accountability; Estimate - Argentina
WWGI/ARG_VA_NO_SRC,Voice and Accountability; Number of Sources - Argentina
WWGI/ARG_VA_PER_RNK,Voice and Accountability; Percentile Rank - Argentina
WWGI/ARG_VA_STD_ERR,Voice and Accountability; Standard Error - Argentina
WWGI/ARM_CC_EST,Control of Corruption; Estimate - Armenia
WWGI/ARM_GE_NO_SRC,Government Effectiveness; Number of Sources - Armenia
WWGI/ARM_CC_PER_RNK,Control of Corruption; Percentile Rank - Armenia
WWGI/ARM_CC_NO_SRC,Control of Corruption; Number of Sources - Armenia
WWGI/ARM_CC_STD_ERR,Control of Corruption; Standard Error - Armenia
WWGI/ARM_GE_PER_RNK,Government Effectiveness; Percentile Rank - Armenia
WWGI/ARM_GE_EST,Government Effectiveness; Estimate - Armenia
WWGI/ARM_GE_STD_ERR,Government Effectiveness; Standard Error - Armenia
WWGI/ARM_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Armenia
WWGI/ARM_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Armenia
WWGI/ARM_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Armenia
WWGI/ARM_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Armenia
WWGI/ARM_RQ_EST,Regulatory Quality; Estimate - Armenia
WWGI/ARM_RQ_NO_SRC,Regulatory Quality; Number of Sources - Armenia
WWGI/ARM_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Armenia
WWGI/ARM_RQ_STD_ERR,Regulatory Quality; Standard Error - Armenia
WWGI/ARM_RL_NO_SRC,Rule of Law; Number of Sources - Armenia
WWGI/ARM_RL_PER_RNK,Rule of Law; Percentile Rank - Armenia
WWGI/ARM_RL_EST,Rule of Law; Estimate - Armenia
WWGI/ARM_RL_STD_ERR,Rule of Law; Standard Error - Armenia
WWGI/ARM_VA_EST,Voice and Accountability; Estimate - Armenia
WWGI/ARM_VA_NO_SRC,Voice and Accountability; Number of Sources - Armenia
WWGI/ARM_VA_PER_RNK,Voice and Accountability; Percentile Rank - Armenia
WWGI/ARM_VA_STD_ERR,Voice and Accountability; Standard Error - Armenia
WWGI/ASM_CC_EST,Control of Corruption; Estimate - American Samoa
WWGI/ASM_CC_NO_SRC,Control of Corruption; Number of Sources - American Samoa
WWGI/ASM_CC_STD_ERR,Control of Corruption; Standard Error - American Samoa
WWGI/ASM_CC_PER_RNK,Control of Corruption; Percentile Rank - American Samoa
WWGI/ASM_GE_EST,Government Effectiveness; Estimate - American Samoa
WWGI/ASM_GE_NO_SRC,Government Effectiveness; Number of Sources - American Samoa
WWGI/ASM_GE_PER_RNK,Government Effectiveness; Percentile Rank - American Samoa
WWGI/ASM_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - American Samoa
WWGI/ASM_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - American Samoa
WWGI/ASM_GE_STD_ERR,Government Effectiveness; Standard Error - American Samoa
WWGI/ASM_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - American Samoa
WWGI/ASM_RQ_EST,Regulatory Quality; Estimate - American Samoa
WWGI/ASM_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - American Samoa
WWGI/ASM_RQ_NO_SRC,Regulatory Quality; Number of Sources - American Samoa
WWGI/ASM_RQ_PER_RNK,Regulatory Quality; Percentile Rank - American Samoa
WWGI/ASM_RQ_STD_ERR,Regulatory Quality; Standard Error - American Samoa
WWGI/ASM_RL_NO_SRC,Rule of Law; Number of Sources - American Samoa
WWGI/ASM_RL_EST,Rule of Law; Estimate - American Samoa
WWGI/ASM_RL_PER_RNK,Rule of Law; Percentile Rank - American Samoa
WWGI/ASM_RL_STD_ERR,Rule of Law; Standard Error - American Samoa
WWGI/ASM_VA_EST,Voice and Accountability; Estimate - American Samoa
WWGI/ASM_VA_NO_SRC,Voice and Accountability; Number of Sources - American Samoa
WWGI/ASM_VA_PER_RNK,Voice and Accountability; Percentile Rank - American Samoa
WWGI/ASM_VA_STD_ERR,Voice and Accountability; Standard Error - American Samoa
WWGI/ATG_CC_EST,Control of Corruption; Estimate - Antigua and Barbuda
WWGI/ATG_CC_NO_SRC,Control of Corruption; Number of Sources - Antigua and Barbuda
WWGI/ATG_CC_PER_RNK,Control of Corruption; Percentile Rank - Antigua and Barbuda
WWGI/ATG_CC_STD_ERR,Control of Corruption; Standard Error - Antigua and Barbuda
WWGI/ATG_GE_EST,Government Effectiveness; Estimate - Antigua and Barbuda
WWGI/ATG_GE_PER_RNK,Government Effectiveness; Percentile Rank - Antigua and Barbuda
WWGI/ATG_GE_STD_ERR,Government Effectiveness; Standard Error - Antigua and Barbuda
WWGI/ATG_GE_NO_SRC,Government Effectiveness; Number of Sources - Antigua and Barbuda
WWGI/ATG_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Antigua and Barbuda
WWGI/ATG_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Antigua and Barbuda
WWGI/ATG_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Antigua and Barbuda
WWGI/ATG_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Antigua and Barbuda
WWGI/ATG_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Antigua and Barbuda
WWGI/ATG_RQ_NO_SRC,Regulatory Quality; Number of Sources - Antigua and Barbuda
WWGI/ATG_RQ_EST,Regulatory Quality; Estimate - Antigua and Barbuda
WWGI/ATG_RQ_STD_ERR,Regulatory Quality; Standard Error - Antigua and Barbuda
WWGI/ATG_RL_EST,Rule of Law; Estimate - Antigua and Barbuda
WWGI/ATG_RL_PER_RNK,Rule of Law; Percentile Rank - Antigua and Barbuda
WWGI/ATG_RL_NO_SRC,Rule of Law; Number of Sources - Antigua and Barbuda
WWGI/ATG_RL_STD_ERR,Rule of Law; Standard Error - Antigua and Barbuda
WWGI/ATG_VA_PER_RNK,Voice and Accountability; Percentile Rank - Antigua and Barbuda
WWGI/ATG_VA_EST,Voice and Accountability; Estimate - Antigua and Barbuda
WWGI/ATG_VA_NO_SRC,Voice and Accountability; Number of Sources - Antigua and Barbuda
WWGI/ATG_VA_STD_ERR,Voice and Accountability; Standard Error - Antigua and Barbuda
WWGI/AUS_CC_EST,Control of Corruption; Estimate - Australia
WWGI/AUS_CC_NO_SRC,Control of Corruption; Number of Sources - Australia
WWGI/AUS_CC_STD_ERR,Control of Corruption; Standard Error - Australia
WWGI/AUS_CC_PER_RNK,Control of Corruption; Percentile Rank - Australia
WWGI/AUS_GE_EST,Government Effectiveness; Estimate - Australia
WWGI/AUS_GE_NO_SRC,Government Effectiveness; Number of Sources - Australia
WWGI/AUS_GE_PER_RNK,Government Effectiveness; Percentile Rank - Australia
WWGI/AUS_GE_STD_ERR,Government Effectiveness; Standard Error - Australia
WWGI/AUS_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Australia
WWGI/AUS_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Australia
WWGI/AUS_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Australia
WWGI/AUS_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Australia
WWGI/AUS_RQ_EST,Regulatory Quality; Estimate - Australia
WWGI/AUS_RQ_NO_SRC,Regulatory Quality; Number of Sources - Australia
WWGI/AUS_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Australia
WWGI/AUS_RQ_STD_ERR,Regulatory Quality; Standard Error - Australia
WWGI/AUS_RL_EST,Rule of Law; Estimate - Australia
WWGI/AUS_RL_NO_SRC,Rule of Law; Number of Sources - Australia
WWGI/AUS_RL_PER_RNK,Rule of Law; Percentile Rank - Australia
WWGI/AUS_RL_STD_ERR,Rule of Law; Standard Error - Australia
WWGI/AUS_VA_EST,Voice and Accountability; Estimate - Australia
WWGI/AUS_VA_NO_SRC,Voice and Accountability; Number of Sources - Australia
WWGI/AUS_VA_PER_RNK,Voice and Accountability; Percentile Rank - Australia
WWGI/AUS_VA_STD_ERR,Voice and Accountability; Standard Error - Australia
WWGI/AUT_CC_NO_SRC,Control of Corruption; Number of Sources - Austria
WWGI/AUT_CC_EST,Control of Corruption; Estimate - Austria
WWGI/AUT_CC_PER_RNK,Control of Corruption; Percentile Rank - Austria
WWGI/AUT_GE_EST,Government Effectiveness; Estimate - Austria
WWGI/AUT_CC_STD_ERR,Control of Corruption; Standard Error - Austria
WWGI/AUT_GE_NO_SRC,Government Effectiveness; Number of Sources - Austria
WWGI/AUT_GE_PER_RNK,Government Effectiveness; Percentile Rank - Austria
WWGI/AUT_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Austria
WWGI/AUT_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Austria
WWGI/AUT_GE_STD_ERR,Government Effectiveness; Standard Error - Austria
WWGI/AUT_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Austria
WWGI/AUT_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Austria
WWGI/AUT_RQ_EST,Regulatory Quality; Estimate - Austria
WWGI/AUT_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Austria
WWGI/AUT_RQ_NO_SRC,Regulatory Quality; Number of Sources - Austria
WWGI/AUT_RQ_STD_ERR,Regulatory Quality; Standard Error - Austria
WWGI/AUT_RL_EST,Rule of Law; Estimate - Austria
WWGI/AUT_RL_NO_SRC,Rule of Law; Number of Sources - Austria
WWGI/AUT_RL_PER_RNK,Rule of Law; Percentile Rank - Austria
WWGI/AUT_RL_STD_ERR,Rule of Law; Standard Error - Austria
WWGI/AUT_VA_EST,Voice and Accountability; Estimate - Austria
WWGI/AUT_VA_NO_SRC,Voice and Accountability; Number of Sources - Austria
WWGI/AUT_VA_PER_RNK,Voice and Accountability; Percentile Rank - Austria
WWGI/AUT_VA_STD_ERR,Voice and Accountability; Standard Error - Austria
WWGI/AZE_CC_EST,Control of Corruption; Estimate - Azerbaijan
WWGI/AZE_CC_PER_RNK,Control of Corruption; Percentile Rank - Azerbaijan
WWGI/AZE_CC_NO_SRC,Control of Corruption; Number of Sources - Azerbaijan
WWGI/AZE_CC_STD_ERR,Control of Corruption; Standard Error - Azerbaijan
WWGI/AZE_GE_EST,Government Effectiveness; Estimate - Azerbaijan
WWGI/AZE_GE_NO_SRC,Government Effectiveness; Number of Sources - Azerbaijan
WWGI/AZE_GE_PER_RNK,Government Effectiveness; Percentile Rank - Azerbaijan
WWGI/AZE_GE_STD_ERR,Government Effectiveness; Standard Error - Azerbaijan
WWGI/AZE_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Azerbaijan
WWGI/AZE_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Azerbaijan
WWGI/AZE_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Azerbaijan
WWGI/AZE_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Azerbaijan
WWGI/AZE_RQ_EST,Regulatory Quality; Estimate - Azerbaijan
WWGI/AZE_RQ_NO_SRC,Regulatory Quality; Number of Sources - Azerbaijan
WWGI/AZE_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Azerbaijan
WWGI/AZE_RQ_STD_ERR,Regulatory Quality; Standard Error - Azerbaijan
WWGI/AZE_RL_PER_RNK,Rule of Law; Percentile Rank - Azerbaijan
WWGI/AZE_RL_EST,Rule of Law; Estimate - Azerbaijan
WWGI/AZE_RL_NO_SRC,Rule of Law; Number of Sources - Azerbaijan
WWGI/AZE_RL_STD_ERR,Rule of Law; Standard Error - Azerbaijan
WWGI/AZE_VA_PER_RNK,Voice and Accountability; Percentile Rank - Azerbaijan
WWGI/AZE_VA_EST,Voice and Accountability; Estimate - Azerbaijan
WWGI/BDI_CC_EST,Control of Corruption; Estimate - Burundi
WWGI/AZE_VA_NO_SRC,Voice and Accountability; Number of Sources - Azerbaijan
WWGI/BDI_CC_NO_SRC,Control of Corruption; Number of Sources - Burundi
WWGI/AZE_VA_STD_ERR,Voice and Accountability; Standard Error - Azerbaijan
WWGI/BDI_CC_PER_RNK,Control of Corruption; Percentile Rank - Burundi
WWGI/BDI_CC_STD_ERR,Control of Corruption; Standard Error - Burundi
WWGI/BDI_GE_EST,Government Effectiveness; Estimate - Burundi
WWGI/BDI_GE_PER_RNK,Government Effectiveness; Percentile Rank - Burundi
WWGI/BDI_GE_NO_SRC,Government Effectiveness; Number of Sources - Burundi
WWGI/BDI_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Burundi
WWGI/BDI_GE_STD_ERR,Government Effectiveness; Standard Error - Burundi
WWGI/BDI_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Burundi
WWGI/BDI_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Burundi
WWGI/BDI_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Burundi
WWGI/BDI_RQ_EST,Regulatory Quality; Estimate - Burundi
WWGI/BDI_RQ_NO_SRC,Regulatory Quality; Number of Sources - Burundi
WWGI/BDI_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Burundi
WWGI/BDI_RQ_STD_ERR,Regulatory Quality; Standard Error - Burundi
WWGI/BDI_RL_EST,Rule of Law; Estimate - Burundi
WWGI/BDI_RL_STD_ERR,Rule of Law; Standard Error - Burundi
WWGI/BDI_RL_PER_RNK,Rule of Law; Percentile Rank - Burundi
WWGI/BDI_VA_NO_SRC,Voice and Accountability; Number of Sources - Burundi
WWGI/BDI_RL_NO_SRC,Rule of Law; Number of Sources - Burundi
WWGI/BDI_VA_EST,Voice and Accountability; Estimate - Burundi
WWGI/BDI_VA_PER_RNK,Voice and Accountability; Percentile Rank - Burundi
WWGI/BDI_VA_STD_ERR,Voice and Accountability; Standard Error - Burundi
WWGI/BEL_CC_EST,Control of Corruption; Estimate - Belgium
WWGI/BEL_CC_NO_SRC,Control of Corruption; Number of Sources - Belgium
WWGI/BEL_CC_PER_RNK,Control of Corruption; Percentile Rank - Belgium
WWGI/BEL_CC_STD_ERR,Control of Corruption; Standard Error - Belgium
WWGI/BEL_GE_PER_RNK,Government Effectiveness; Percentile Rank - Belgium
WWGI/BEL_GE_EST,Government Effectiveness; Estimate - Belgium
WWGI/BEL_GE_STD_ERR,Government Effectiveness; Standard Error - Belgium
